      station_name       station_id  water_level (in m)        lat       long
4            BIGOD  251440075023001                5.41  25.244444  75.041667
5          BIJOLIA  251012075192201               14.46  25.170000  75.322778
6           BORANI  254100075200001                9.47  25.683333  75.333333
7       Daulatgarh  253800074164501                5.60  25.633333  74.279167
8          DEVARIA  251700074093001                9.31  25.283333  74.158333
9           GAGEDA  255200074330001                8.84  25.866667  74.550000
10       GANGAPUR1  251300074153501               13.49  25.216667  74.259722
11       GULABPURA  255400074410001               12.52  25.900000  74.683333
12      GULABPURA1  253820075065501               10.05  25.638889  75.115278
13       HAMIRGARH  251050074345001               14.20  25.180556  74.580556
14        JAHAJPUR  253715075163001               14.56  25.620833  75.275000
15      JIWANLIYAN  253056074332801               12.28  25.515556  74.557778
16    KANCHAN-KALA  254520074542001                3.35  25.755556  74.905556
17          Karera  253100074160001               19.42  25.516667  74.266667
18        KODUKOTA  252230074463001               17.77  25.375000  74.775000
19          KOTARI  252350074533001                8.84  25.397222  74.891667
20     MANDALGARH1  251700075053801               15.01  25.283333  75.093889
21     MANDAPIA RS  251610074381501                6.16  25.269444  74.637500
22        NANGPURA  252715074111501               19.80  25.454167  74.187500
23        Parasoli  254650074203001               25.06  25.780556  74.341667
24          PAROLI  253104075053001                2.24  25.517778  75.091667
25       PITAKHERA  252226074063001                8.45  25.373889  74.108333
26      RAILA ROAD  253800074360001                6.82  25.633333  74.600000
27       SALAWATIA  250650075154001               17.28  25.113889  75.261111
28        SAWAIPUR  251825074520001               12.56  25.306944  74.866667
29          SOPURA  253615074540001                8.53  25.604167  74.900000
30  Taswaria Khurd  253340074480001               10.97  25.561111  74.800000
31          TILOLI  253551074184801                8.50  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                2.22  25.720833  75.354167
1           BADNOR  255000074170001               27.68  25.833333  74.283333
2     BANERAMATAJI  252915074420001               10.50  25.487500  74.700000
3          BARASNI  254530074280001                9.40  25.758333  74.466667
4            BIGOD  251440075023001                6.92  25.244444  75.041667
5          BIJOLIA  251012075192201               11.68  25.170000  75.322778
6           BORANI  254100075200001                7.22  25.683333  75.333333
7       Daulatgarh  253800074164501                2.60  25.633333  74.279167
8           GAGEDA  255200074330001                8.77  25.866667  74.550000
9        GANGAPUR1  251300074153501               11.48  25.216667  74.259722
10       GULABPURA  255400074410001               10.31  25.900000  74.683333
11      GULABPURA1  253820075065501                8.87  25.638889  75.115278
12       HAMIRGARH  251050074345001               12.39  25.180556  74.580556
13        JAHAJPUR  253715075163001               11.66  25.620833  75.275000
14      JIWANLIYAN  253056074332801               13.14  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                2.12  25.755556  74.905556
16          Karera  253100074160001               16.50  25.516667  74.266667
17        KODUKOTA  252230074463001               13.53  25.375000  74.775000
18          KOTARI  252350074533001                5.80  25.397222  74.891667
19     MANDAPIA RS  251610074381501                5.10  25.269444  74.637500
20        NANGPURA  252715074111501               13.98  25.454167  74.187500
21        Parasoli  254650074203001               22.73  25.780556  74.341667
22          PAROLI  253104075053001                1.06  25.517778  75.091667
23       PITAKHERA  252226074063001                7.44  25.373889  74.108333
24      RAILA ROAD  253800074360001                5.05  25.633333  74.600000
25       SALAWATIA  250650075154001               14.53  25.113889  75.261111
